	Verb_Address	Verb_Afun	Verb_Tag	Sbj_Tag	Pnom_Tag	Verb_Lemma	isValid	note
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##832.9	832.9	Pred	v3siia---	n-s---mn-	n-s---mn-	εἰμί	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##868.13	868.13	Adv	v--pna---	v--ana---	n-s---fa-	εἰμί	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##869.17	869.17	Obj	v--fnm---	n-s---fg-	l-s---fg-	εἰμί	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##875.29	875.29	Obj	v--pna---	v-pappma-	a-p---ma-	εἰμί	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##946.43	946.43	Atr	v3siia---	p-s---fn-	n-s---fn-	εἰμί	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##947.2	947.2	Pred	v3spia---	v--ana---	a-s---nn-	εἰμί	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##949.1	949.1	Pred	v3ppia---	n-p---mn-	a-p---mn-	εἰμί	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##956.6	956.6	Adv	v-sppafg-	n-s---fg-	a-s---fg-	εἰμί	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##987.7	987.7	Obj	v3spia---	n-s---mn-	a-s---mn-	εἰμί	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##988.6	988.6	Obj	v--pna---	v--pna---	a-s---na-	εἰμί	1	
