a-tlg0012.tlg002-2.276-2.277-s3508-w19	a-tlg0012.tlg002-2.276-2.277-s3508-w0	tlg0012.tlg002.perseus-grc1.2.tb.a.gz##152.0	a-tlg0012.	genre	subgenre	a-p---mnc	a-p---mnc	10	11	order	subtree	#Reconstructed
a-tlg0011.tlg004-316-317-s7585-w13	a-tlg0011.tlg004-316-317-s7585-w0	tlg0011.tlg004.perseus-grc1.tb.a.gz##148.0	a-tlg0011.	genre	subgenre	v--pna---	a-s---nn-	4	6	order	subtree	#Reconstructed
a-tlg0012.tlg001-11.793-s19790-w4	a-tlg0012.tlg001-11.793-s19790-w0	tlg0012.tlg001.perseus-grc1.11.tb.a.gz##422.0	a-tlg0012.	genre	subgenre	n-s---fn-	a-s---fn-	3	1	order	subtree	εἰμί1
a-tlg0012.tlg002-12.322-12.323-s29303-w19	a-tlg0012.tlg002-12.322-12.323-s29303-w0	tlg0012.tlg002.perseus-grc1.12.tb.a.gz##171.0	a-tlg0012.	genre	subgenre	n-p---nn-	n-s---mg-	8	10	order	subtree	#Reconstructed
a-tlg0085.tlg002-147-149-s11546-w13	a-tlg0085.tlg002-147-149-s11546-w0	tlg0085.tlg002.perseus-grc2.tb.a.gz##30.0	a-tlg0085.	genre	subgenre	n-s---nn-	v-sppann-	3	5	order	subtree	#Reconstructed
a-tlg0016.tlg001-1.196-s6850-w23	a-tlg0016.tlg001-1.196-s6850-w0	Herodotus_Book1.tb.a.gz##1394.0	a-tlg0016.	genre	subgenre	a-s---mns	p-s---mn-	9	10	order	subtree	#Reconstructed
a-tlg0008.tlg001-12.63-s16476-w26	a-tlg0008.tlg001-12.63-s16476-w0	Athenaeus_Book12.tb.a.gz##789.0	a-tlg0008.	genre	subgenre	n-s---fn-	a-s---fn-	12	11	order	subtree	#Reconstructed
a-tlg0011.tlg001-1144-s3273-w6	a-tlg0011.tlg001-1144-s3273-w0	tlg0011.tlg001.perseus-grc2.tb.a.gz##586.0	a-tlg0011.	genre	subgenre	n-s---nn-	p-s---md-	4	7	order	subtree	εἰμί1
a-tlg0012.tlg002-5.299-s32064-w13	a-tlg0012.tlg002-5.299-s32064-w0	tlg0012.tlg002.perseus-grc1.5.tb.a.gz##163.0	a-tlg0012.	genre	subgenre	p-s---mn-	a-s---mn-	4	5	order	subtree	#Reconstructed
a-tlg0011.tlg001-311-s2827-w11	a-tlg0011.tlg001-311-s2827-w0	tlg0011.tlg001.perseus-grc2.tb.a.gz##140.0	a-tlg0011.	genre	subgenre	v-sapafn-	p-s---mn-	3	5	order	subtree	#Reconstructed
a-tlg0008.tlg001-13.72-s15114-w3	a-tlg0008.tlg001-13.72-s15114-w0	Athenaeus_Book13.tb.a.gz##1135.0	a-tlg0008.	genre	subgenre	n-s---mn-	n-s---mn-	4	12	order	subtree	εἰμί
a-tlg0011.tlg002-1051-s19215-w10	a-tlg0011.tlg002-1051-s19215-w0	tlg0011.tlg002.perseus-grc2.tb.a.gz##534.0	a-tlg0011.	genre	subgenre	v--pna---	n-s---fn-	6	8	order	subtree	#Reconstructed
a-tlg0085.tlg004-412-414-s25652-w15	a-tlg0085.tlg004-412-414-s25652-w0	tlg0085.tlg004.perseus-grc2.tb.a.gz##189.0	a-tlg0085.	genre	subgenre	n-s---mn-	a-s---mn-	18	16	order	subtree	εἰμί1
a-tlg0085.tlg005-584-s22171-w9	a-tlg0085.tlg005-584-s22171-w0	tlg0085.tlg005.perseus-grc1.tb.a.gz##243.0	a-tlg0085.	genre	subgenre	v--ana---	n-s---fn-	7	3	order	subtree	#Reconstructed
a-tlg0085.tlg003-17-s1051-w7	a-tlg0085.tlg003-17-s1051-w0	tlg0085.tlg003.perseus-grc2.tb.a.gz##8.0	a-tlg0085.	genre	subgenre	v--pna---	a-s---nn-	1	5	order	subtree	#Reconstructed
a-tlg0011.tlg001-1140-s3270-w7	a-tlg0011.tlg001-1140-s3270-w0	tlg0011.tlg001.perseus-grc2.tb.a.gz##583.0	a-tlg0011.	genre	subgenre	p-s---mn-	n-s---mn-	2	4	order	subtree	#Reconstructed
a-tlg0085.tlg001-347-s18318-w8	a-tlg0085.tlg001-347-s18318-w0	tlg0085.tlg001.perseus-grc2.tb.a.gz##166.0	a-tlg0085.	genre	subgenre	n-s---mn-	a-s---mn-	6	1	order	subtree	#Reconstructed
a-tlg0085.tlg001-468-469-s18385-w14	a-tlg0085.tlg001-468-469-s18385-w0	tlg0085.tlg001.perseus-grc2.tb.a.gz##233.0	a-tlg0085.	genre	subgenre	n-s---mn-	a-p---nn-	10	4	order	subtree	#Reconstructed
